Time,og_F,corr_F
51.4,6.19507,-1.433232
51.5,7.2937,-0.345865
51.6,6.37817,-1.272658
51.7,7.44629,-0.215801
51.8,6.50024,-1.173114
51.9,7.20215,-0.482467
52,6.56128,-1.1346
52.1,6.71387,-0.993273
52.2,6.80542,-0.912986
52.3,6.80542,-0.924249
52.4,6.95801,-0.782922
52.5,6.71387,-1.038325
52.6,7.35474,-0.408718
52.7,6.19507,-1.579651
52.8,7.38525,-0.400734
52.9,6.10352,-1.693727
53,7.35474,-0.45377
53.1,6.80542,-1.014353
53.2,6.68335,-1.147686
53.3,6.92749,-0.914809
53.4,6.68335,-1.170212
53.5,6.65283,-1.211995
53.6,6.86646,-1.009628
53.7,6.95801,-0.929341
53.8,6.53076,-1.367854
53.9,7.1106,-0.799277
54,6.56128,-1.35986
54.1,7.44629,-0.486113
54.2,6.80542,-1.138246
54.3,6.92749,-1.027439
54.4,6.92749,-1.038702
54.5,6.92749,-1.049965
54.6,7.17163,-0.817088
54.7,6.5918,-1.408181
54.8,7.35474,-0.656504
54.9,6.46973,-1.552777
55,7.01904,-1.01473
55.1,6.31714,-1.727893
55.2,7.50732,-0.548976
55.3,6.16455,-1.903009
55.4,7.44629,-0.632532
55.5,6.68335,-1.406735
55.6,6.53076,-1.570588
55.7,7.1106,-1.002011
55.8,6.53076,-1.593114
55.9,7.38525,-0.749887
56,7.04956,-1.09684
56.1,6.80542,-1.352243
56.2,6.53076,-1.638166
56.3,7.35474,-0.825449
56.4,6.28662,-1.904832
56.5,7.38525,-0.817465
56.6,6.92749,-1.286488
56.7,6.98853,-1.236711
56.8,7.1106,-1.125904
56.9,6.74438,-1.503387
57,7.2937,-0.96533
57.1,6.68335,-1.586943
57.2,7.47681,-0.804746
57.3,6.62231,-1.670509
57.4,7.14111,-1.162972
57.5,6.68335,-1.631995
57.6,7.56836,-0.758248
57.7,6.46973,-1.868141
57.8,7.44629,-0.902844
57.9,6.71387,-1.646527
58,6.74438,-1.62728
58.1,7.62939,-0.753533
58.2,6.5918,-1.802386
58.3,7.62939,-0.776059
58.4,6.7749,-1.641812
58.5,7.23267,-1.195305
58.6,6.86646,-1.572778
58.7,7.23267,-1.217831
58.8,6.62231,-1.839454
58.9,7.50732,-0.965707
59,6.89697,-1.58732
59.1,6.92749,-1.568063
59.2,7.20215,-1.304666
59.3,6.7749,-1.743179
59.4,7.78198,-0.747362
59.5,6.83594,-1.704665
59.6,7.38525,-1.166618
59.7,6.86646,-1.696671
59.8,7.14111,-1.433284
